time,distance
0,320.1
1,321.22
2,320.35
3,321.2
4,319.93
5,317.81
6,320.4
7,321.24
8,319.93
9,321.23
10,319.93
11,320.41
12,320.36
13,320.81
14,320.4
15,321.22
16,320.79
17,321.65
18,321.2
19,320.76
20,320.81
21,320.76
22,321.19
23,322.08
24,321.56
25,322.9
26,1205.46
27,1205.56
28,322.45
29,321.58
30,321.13
31,321.99
32,321.13
33,321.6
34,321.99
35,320.72
36,321.58
37,321.97
38,321.1
39,320.67
40,322.83
41,322.42
42,321.08
43,321.53
44,321.96
45,321.51
46,321.53
47,321.99
48,316.28
49,321.12
50,321.08
51,320.65
52,322.8
53,323.26
54,321.96
55,321.51
56,323.24
57,321.1
58,321.55
59,322.4
60,111.73
61,104.65
62,84.44
63,322.4
64,322.39
65,86.88
66,82.39
67,87.17
68,79.34
69,79.84
70,78.18
71,86.95
72,76.9
73,76.66
74,75.69
75,72.27
76,75.44
77,72.39
78,1205.34
79,70.92
80,70.16
81,67.73
82,66.46
83,64.64
84,64.6
85,64.98
86,64.24
87,1205.32
88,64.96
89,64.67
90,63.47
91,63.2
92,62.01
93,1205.49
94,1205.51
95,1205.41
96,61.69
97,61.17
98,61.45
99,60.86
100,61.21
101,61.16
102,60.27
103,62.0
104,62.0
105,61.66
106,60.42
107,59.78
108,62.89
109,60.99
110,90.47
111,61.28
112,62.07
113,67.21
114,61.6
115,1205.42
116,61.12
117,65.38
118,320.21
119,320.27
120,320.26
121,321.55
122,320.69
123,321.17
124,319.83
125,321.59
126,320.26
127,320.7
128,322.01
129,319.81
130,320.67
131,320.65
132,320.64
133,322.51
134,320.26
