time,distance
0,320.95
1,320.47
2,320.45
3,320.45
4,321.77
5,319.97
6,319.98
7,320.91
8,320.87
9,320.04
10,320.86
11,320.02
12,321.32
13,320.04
14,93.19
15,321.32
16,320.9
17,320.86
18,320.9
19,321.32
20,320.43
21,320.9
22,321.32
23,322.15
24,320.45
25,322.16
26,321.7
27,320.43
28,319.95
29,320.86
30,114.66
31,113.38
32,320.45
33,321.72
34,115.56
35,115.13
36,121.1
37,121.65
38,124.34
39,320.45
40,320.4
41,322.11
42,136.4
43,1205.58
44,1205.25
45,1205.47
46,143.53
47,130.03
48,129.91
49,131.11
50,1205.54
51,148.66
52,174.33
53,151.02
54,144.97
55,144.27
56,321.97
57,135.17
58,131.1
59,122.81
60,1205.66
61,101.98
62,104.77
63,99.18
64,92.83
65,84.39
66,78.92
67,75.48
68,69.84
69,1205.7
70,60.88
71,56.44
72,54.23
73,52.65
74,52.43
75,50.98
76,47.99
77,49.68
78,48.24
79,48.79
80,49.27
81,48.42
82,48.38
83,50.85
84,50.01
85,47.42
86,47.85
87,49.54
88,48.72
89,50.04
90,1205.51
91,49.21
92,52.96
93,52.5
94,1205.56
95,50.27
96,50.78
97,52.53
98,51.32
99,50.03
100,51.78
101,51.42
102,51.6
103,50.18
104,52.87
105,50.51
106,47.69
107,49.17
108,48.4
109,61.06
110,47.37
111,34.35
112,36.17
113,320.02
114,48.5
115,320.9
116,322.22
117,320.52
118,321.82
119,321.41
120,321.39
121,320.09
122,320.55
123,320.55
124,320.07
125,319.69
126,319.68
127,320.07
128,321.8
129,320.94
130,320.05
131,322.62
132,320.04
133,322.23
134,320.94
135,321.82
136,320.5
137,322.23
138,322.23
139,321.82
140,320.53
141,320.09
142,321.43
143,320.6
144,320.14
145,319.71
146,320.19
147,321.05
148,321.01
149,320.6
150,321.49
151,320.16
152,143.74
153,320.14
154,286.7
